Section,Key,Value
Report,ID,rep_08576d2584fa43ff
Report,Requested by,legal.demo@landvault.test
Report,Generated at,2026-06-25T10:16:40.718635+00:00
Parcel,Parcel number,AS-LV-2026-0A6315
Parcel,Status,UNVERIFIED
Parcel,Confidence,10
Parcel,Community,TEST_drain_1d9d
Parcel,LGA,l
Parcel,Ward,w
Parcel,State,Lagos
Evidence,total,0
Evidence,approved,0
Evidence,rejected,0
Evidence,pending,0
Evidence,sealed,0
Evidence,integrity_pass,0
Attestation,total,0
Attestation,approved,0
Attestation,pending,0
Attestation,contested,0
Attestation,rejected,0
