Section,Key,Value
Report,ID,rep_0f6a67ecf7a34ea2
Report,Requested by,legal.demo@landvault.test
Report,Generated at,2026-06-25T10:09:33.946762+00:00
Parcel,Parcel number,AS-LV-2026-F3E093
Parcel,Status,UNVERIFIED
Parcel,Confidence,10
Parcel,Community,TEST_drain_5b8f
Parcel,LGA,l
Parcel,Ward,w
Parcel,State,Lagos
Evidence,total,0
Evidence,approved,0
Evidence,rejected,0
Evidence,pending,0
Evidence,sealed,0
Evidence,integrity_pass,0
Attestation,total,0
Attestation,approved,0
Attestation,pending,0
Attestation,contested,0
Attestation,rejected,0
