Section,Key,Value
Report,ID,rep_617d150d332444d7
Report,Requested by,legal.demo@landvault.test
Report,Generated at,2026-06-25T10:28:10.131181+00:00
Parcel,Parcel number,AS-LV-2026-B9014A
Parcel,Status,UNVERIFIED
Parcel,Confidence,10
Parcel,Community,WRK_4908b
Parcel,LGA,l
Parcel,Ward,w
Parcel,State,Lagos
Evidence,total,0
Evidence,approved,0
Evidence,rejected,0
Evidence,pending,0
Evidence,sealed,0
Evidence,integrity_pass,0
Attestation,total,0
Attestation,approved,0
Attestation,pending,0
Attestation,contested,0
Attestation,rejected,0
